currency_from,currency_to,exchange_rate
AUD,AED,2.481008
AUD,AFN,59.438632
AUD,ALL,79.076823
AUD,AMD,278.712641
AUD,ANG,1.217436
AUD,AOA,292.212686
AUD,ARS,86.467559
AUD,AUD,1
AUD,AWG,1.214129
AUD,AZN,1.148132
AUD,BAM,1.319036
AUD,BBD,1.363912
AUD,BDT,63.464313
AUD,BGN,1.31777
AUD,BHD,0.254633
AUD,BIF,1390.680142
AUD,BMD,0.675454
AUD,BND,0.948334
AUD,BOB,4.650889
AUD,BRL,3.663866
AUD,BSD,0.675515
AUD,BTC,3.2845677e-05
AUD,BTN,53.92014
AUD,BWP,8.643792
AUD,BYN,1.705024
AUD,BYR,13238.904818
AUD,BZD,1.361619
AUD,CAD,0.885554
AUD,CDF,1352.598994
AUD,CHF,0.664109
AUD,CLF,0.024708
AUD,CLP,681.762892
AUD,CNY,4.563505
AUD,COP,3034.140839
AUD,CRC,463.081198
AUD,CUC,0.675454
AUD,CUP,17.89954
AUD,CVE,74.364821
AUD,CZK,16.479669
AUD,DJF,120.041816
AUD,DKK,5.014234
AUD,DOP,36.883246
AUD,DZD,99.388116
AUD,EGP,12.75116
AUD,ERN,10.131815
AUD,ETB,35.253572
AUD,EUR,0.673749
AUD,FJD,1.505046
AUD,FKP,0.56896
AUD,GBP,0.570533
AUD,GEL,1.985928
AUD,GGP,0.56896
AUD,GHS,5.488355
AUD,GIP,0.56896
AUD,GMD,36.535327
AUD,GNF,5862.253092
AUD,GTQ,5.228482
AUD,GYD,141.32946
AUD,HKD,5.302171
AUD,HNL,16.607476
AUD,HRK,5.062665
AUD,HTG,78.277164
AUD,HUF,273.994672
AUD,IDR,10162.615629
AUD,ILS,2.363503
AUD,IMP,0.56896
AUD,INR,53.954312
AUD,IQD,985.920519
AUD,IRR,28605.490976
AUD,ISK,93.719439
AUD,JEP,0.56896
AUD,JMD,102.542937
AUD,JOD,0.478895
AUD,JPY,93.868225
AUD,KES,79.839825
AUD,KGS,54.781272
AUD,KHR,2758.133272
AUD,KMF,313.832973
AUD,KPW,607.908889
AUD,KRW,889.4754
AUD,KWD,0.208105
AUD,KYD,0.562957
AUD,KZT,324.073208
AUD,LAK,10152.587746
AUD,LBP,1021.510858
AUD,LKR,243.85122
AUD,LRD,103.007555
AUD,LSL,10.698977
AUD,LTL,1.994441
AUD,LVL,0.408575
AUD,LYD,3.29209
AUD,MAD,6.987856
AUD,MDL,13.047237
AUD,MGA,2778.150731
AUD,MKD,41.54516
AUD,MMK,1250.709878
AUD,MNT,2124.0742
AUD,MOP,5.461772
AUD,MRO,241.137079
AUD,MUR,30.42927
AUD,MVR,10.368155
AUD,MWK,693.368873
AUD,MXN,14.055641
AUD,MYR,3.001697
AUD,MZN,43.114342
AUD,NAD,10.69936
AUD,NGN,280.536174
AUD,NIO,24.220343
AUD,NOK,6.910371
AUD,NPR,86.272008
AUD,NZD,1.101963
AUD,OMR,0.260044
AUD,PAB,0.675515
AUD,PEN,2.672344
AUD,PGK,2.410795
AUD,PHP,38.04824
AUD,PKR,141.553443
AUD,PLN,3.246673
AUD,PYG,4634.972316
AUD,QAR,2.45935
AUD,RON,3.32938
AUD,RSD,79.065312
AUD,RUB,39.36208
AUD,RWF,696.584616
AUD,SAR,2.535592
AUD,SBD,5.511686
AUD,SCR,8.845781
AUD,SDG,308.343945
AUD,SEK,7.142139
AUD,SGD,0.947729
AUD,SHP,0.930373
AUD,SLL,8895.733342
AUD,SOS,394.802083
AUD,SRD,15.186579
AUD,STD,13980.540842
AUD,SVC,5.910756
AUD,SYP,1697.098878
AUD,SZL,11.576606
AUD,THB,24.700353
AUD,TJS,6.974612
AUD,TMT,2.370845
AUD,TND,2.069255
AUD,TOP,1.596371
AUD,TRY,11.799577
AUD,TTD,4.574429
AUD,TWD,20.218847
AUD,TZS,1575.159487
AUD,UAH,19.943209
AUD,UGX,2543.323284
AUD,USD,0.675454
AUD,UYU,27.712849
AUD,UZS,7386.588617
AUD,VND,15819.140349
AUD,VUV,80.308835
AUD,WST,1.837891
AUD,XAF,442.405386
AUD,XAG,0.036608
AUD,XAU,0.000395
AUD,XCD,1.825449
AUD,XDR,0.514937
AUD,XOF,442.389926
AUD,XPF,76.427765
AUD,YER,169.032274
AUD,ZAR,11.575123
AUD,ZMK,6079.901561
AUD,ZMW,11.08514
AUD,ZWL,217.496018
CAD,AED,2.801644
CAD,AFN,67.120245
CAD,ALL,89.296398
CAD,AMD,314.732356
CAD,ANG,1.374773
CAD,AOA,329.977092
CAD,ARS,97.642283
CAD,AUD,1.129236
CAD,AWG,1.371038
CAD,AZN,1.296512
CAD,BAM,1.489503
CAD,BBD,1.540178
CAD,BDT,71.666188
CAD,BGN,1.488073
CAD,BHD,0.287541
CAD,BIF,1570.406117
CAD,BMD,0.762747
CAD,BND,1.070893
CAD,BOB,5.251952
CAD,BRL,4.137369
CAD,BSD,0.762816
CAD,BTC,3.7090521e-05
CAD,BTN,60.888564
CAD,BWP,9.760881
CAD,BYN,1.925375
CAD,BYR,14949.848271
CAD,BZD,1.537589
CAD,CAD,1
CAD,CDF,1527.403513
CAD,CHF,0.749936
CAD,CLF,0.027901
CAD,CLP,769.871219
CAD,CNY,5.153274
CAD,COP,3426.261145
CAD,CRC,522.927972
CAD,CUC,0.762747
CAD,CUP,20.212805
CAD,CVE,83.975435
CAD,CZK,18.609436
CAD,DJF,135.555543
CAD,DKK,5.662254
CAD,DOP,41.64989
CAD,DZD,112.232641
CAD,EGP,14.399069
CAD,ERN,11.44121
CAD,ETB,39.809604
CAD,EUR,0.760821
